Type,Mode,StartingTime,ReactionTime,Response,Trial,upperLeft,middleLeft,lowerLeft,upperMiddle,middleMiddle,lowerMiddle,upperRight,middleRight,lowerRight
WarmUp1  ,  Fish Visual  ,  2  ,  1.462005  ,  Hit  ,  1  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
WarmUp1  ,  Fish Visual  ,  2  ,  0.6507162  ,  Hit  ,  2  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
WarmUp1  ,  Fish Visual  ,  2  ,  0.3275464  ,  Hit  ,  3  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
WarmUp1  ,  Fish Visual  ,  2  ,  0.2404211  ,  Hit  ,  4  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
WarmUp1  ,  Fish Visual  ,  2  ,  0.4915896  ,  Hit  ,  5  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
WarmUp1  ,  Fish Visual  ,  2  ,  0.2790533  ,  Hit  ,  6  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
WarmUp1  ,  Fish Visual  ,  2  ,  0.3111876  ,  Hit  ,  7  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
WarmUp1  ,  Fish Visual  ,  2  ,  0.6811411  ,  Hit  ,  8  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
WarmUp1  ,  Fish Visual  ,  2  ,  0.3309148  ,  Hit  ,  9  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
  ,  Fish Visual  ,  2  ,  0.7331175  ,  Hit  ,  0  ,  0  ,  0  ,  0  ,  0  ,  1  ,  0  ,  0  ,  0  ,  0
